"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Product sorting tests","4","0","","0"
"0","","0","Cart tests","1","0","","0"
"0","","0","Footer tests","3","0","","0"
"0","","0","Logout tests","1","0","","0"
"0","","1","Checkout tests","1","0","","0"
"0","","0","Login tests","3","0","","0"
